1988 GRC Krugerrand H Oz FB,60,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\@COINS\1988 386647_120609153326_DS2 (Jos).jpg   ,53,,1988 386647_120609153326_DS2 (Jos).jpg   
1988 GRC Krugerrand H Oz,60,,   ,54,,#VALUE!
1988 GRC Krugerrand H Oz GST,61,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\COM GLD Dias TOz\1988 TOz 389297_120221143837_bid_or_buy_053 (Jos).jpg   ,54,,1988 TOz 389297_120221143837_bid_or_buy_053 (Jos).jpg   
1988 GRC Krugerrand 1 Oz,61,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\COM GLD Dias TOz\1988 TOz 389297_120221143837_bid_or_buy_053 (Jos).jpg   ,55,,1988 TOz 389297_120221143837_bid_or_buy_053 (Jos).jpg   
1988 GRC Krugerrand 1 Oz GHST,61,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\@COINS\1988 TOz 389297_120221143849_Hugenote (Jos).jpg   ,55,,1988 TOz 389297_120221143849_Hugenote (Jos).jpg   
1988 GRC Krugerrand Set,62,,C:\Users\Administrator\Pictures\image25780.jpg   ,56,,image25780.jpg   
1988 RSA Currency Proof Coin Set,63,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\@COINS\1181625_120214181730_305__b (Jos).jpg   ,56,,1181625_120214181730_305__b (Jos).jpg   
1989,64,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\@COINS\1181625_120214181939_305__f (Jos).jpg   ,56,,1181625_120214181939_305__f (Jos).jpg   
1989 Protea Silver R1,65,,C:\Users\Jos\Pictures\1988_Great_Trek.jpg   ,57,,1988_Great_Trek.jpg   
1989 Proof R2,66,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988southafricakrugerrandhalfouncegoldobv400.jpg   ,58,,1988southafricakrugerrandhalfouncegoldobv400.jpg   
1989 REP2 NKL 5c,67,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988southafricakrugerrandhalfouncegoldrev400.jpg   ,58,,1988southafricakrugerrandhalfouncegoldrev400.jpg   
1989 GRC T Oz,67,,C:\Users\Jos\Pictures\1988 23740_obv.jpg   ,58,,1988 23740_obv.jpg   
1989 GRC Q Oz,67,,C:\Users\Jos\Pictures\1988 23740_rev.jpg   ,58,,1988 23740_rev.jpg   
1989 GRC H Oz,68,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\REP3 PRSTG KRD SET\364627_Kruger_Rand_Prestiege_Set (Jos).jpg   ,59,,364627_Kruger_Rand_Prestiege_Set (Jos).jpg   
1989 GRC 1 Oz,68,,   ,62,,#VALUE!
1989 GRC Set,68,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1988\REP3 SHORT\sp2405 (Jos).jpg   ,62,,sp2405 (Jos).jpg   
1989 Krugerrand T Oz + Q Oz,69,,C:\Users\Jos.Wilson\Google Drive\JPW-Col\SAGC\SAGC\1989\Image3.jpg   ,64,,Image3.jpg   
1989 Krugerrand H Oz,70,,C:\Users\Administrator\Documents\#JPW\SAGC\Samples\1989\COM SVR RND\1989 Protea Silver R1 b  (Jos) gfhgfh.jpg   ,64,,1989 Protea Silver R1 b  (Jos) gfhgfh.jpg   
